city,country,country_norm_x,lat,lon,crime_index,safety_index,crimeindex_2023,crimeindex_2020,safetyindex_2020,age_0_14,age_15_64,age_65_plus,population,density_per_km2,num_cities_25km,sum_pop_25km,pop_gravity_25km,num_cities_50km,sum_pop_50km,pop_gravity_50km,num_cities_100km,sum_pop_100km,pop_gravity_100km,dist_to_nearest_large_city,pop_of_nearest_large_city,dist_nearest_labeled_city,crime_nearest_labeled_city,safety_nearest_labeled_city,same_country_as_nearest_labeled,avg_crime_k3,avg_safety_k3,avg_crime_k5,avg_safety_k5,avg_crime_k10,avg_safety_k10,wavg_crime_k5,wavg_safety_k5,num_labeled_within_50km,num_labeled_within_100km,num_labeled_within_250km,avg_crime_same_country_k5,avg_safety_same_country_k5,num_same_country_within_250km,log1p_sum_pop_25km,log1p_pop_gravity_25km,log1p_sum_pop_50km,log1p_pop_gravity_50km,log1p_sum_pop_100km,log1p_pop_gravity_100km,log1p_pop_of_nearest_large_city,log1p_num_cities_25km,log1p_num_cities_50km,log1p_num_cities_100km,log1p_num_labeled_within_50km,log1p_num_labeled_within_100km,log1p_num_labeled_within_250km,log1p_num_same_country_within_250km,log1p_dist_to_nearest_large_city,log1p_dist_nearest_labeled_city,sum_pop_50km_country_z,sum_pop_100km_country_z,pop_gravity_50km_country_z,pop_gravity_100km_country_z,dist_to_nearest_large_city_country_z,country_for_macro,country_for_macro_norm,country_norm_y,gdp,gdp_per_capita,unemployment,homicide_rate,life_expectancy_male,life_expectancy_female,infant_mortality,urban_population_growth,tourists
Caracas,Venezuela,venezuela,10.5060934,-66.9146008,83.6,16.4,83.76,84.49,15.51,27.6,65.8,7.0,32219521.0,35.0,9,5180367.0,353304.0,19,6465431.0,354194.5625,34,9243588.0,354667.9375,3.079200506210327,3242000.0,590.1002807617188,76.19999694824219,23.799999237060547,0,70.5999984741211,29.399999618530277,66.5999984741211,33.400001525878906,63.900001525878906,36.09999847412109,67.9183120727539,32.08168411254883,0,0,0,66.5999984741211,33.400001525878906,0,15.460386654183312,12.775086985525611,15.681980389301357,12.777604476019754,16.0394407881158,12.778940062920684,14.991701289729283,2.302585092994046,2.995732273553991,3.555348061489413,0.0,0.0,0.0,0.0,1.4059010148542923,6.381985682811972,0.0,0.0,0.0,0.0,0.0,"Venezuela, Bolivarian Republic Of","venezuela, bolivarian republic of","venezuela, bolivarian republic of",208338.0,7212.2,9.4,36.7,68.4,76.1,25.7,1.4,427.0
Pretoria,South Africa,south africa,-25.7459277,28.1879101,82.0,18.0,76.86,77.49,22.51,29.0,65.7,5.0,58775022.0,48.0,4,3087153.0,3633553664.0,18,4257637.0,3633554176.0,41,16239880.0,3633558016.0,0.0268491879105567,2818100.0,52.88252639770508,80.69999694824219,19.299999237060547,1,69.2300033569336,30.76999855041504,69.85800170898438,30.141998291015625,69.57400512695312,30.42599868774414,75.71797943115234,24.28201484680176,0,1,1,76.70399475097656,23.29599952697754,1,14.942760188861316,22.013476977417884,15.264225104381817,22.01347711832676,16.602980565084753,22.013478175142694,14.85157381182049,1.6094379124341005,2.9444389791664403,3.737669618283368,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0264950729486654,3.9868062397841153,0.0148948931235655,1.263754784782644,2.0411121502430203,2.0411121446062106,-0.4183971193292493,South Africa,south africa,south africa,368094.0,6369.2,28.5,36.4,60.2,67.1,27.2,2.2,10472.0
Durban,South Africa,south africa,-29.861825,31.009909,81.0,19.0,76.86,77.49,22.51,29.0,65.7,5.0,58775022.0,48.0,9,1157022.0,42828.0625,12,1205953.0,42880.171875,22,2265236.0,43116.88671875,4.543538093566895,838634.0,471.3551330566406,71.31999969482422,28.68000030517578,1,78.00666046142578,21.993331909179688,73.3179931640625,26.6820011138916,69.67399597167969,30.32599830627441,74.34547424316406,25.65452766418457,0,0,0,76.90399932861328,23.09599876403809,0,13.961360884975637,10.664972181506906,14.002781512921588,10.66618812454569,14.63318994718692,10.671693195076458,13.639530849074912,2.302585092994046,2.5649493574615367,3.1354942159291497,0.0,0.0,0.0,0.0,1.7126329419604056,6.157731103217896,-0.6593259291647261,-0.6641284236665981,-0.4178507621988416,-0.4178508077712085,-0.3871596814345542,South Africa,south africa,south africa,368094.0,6369.2,28.5,36.4,60.2,67.1,27.2,2.2,10472.0
Port Moresby,Papua New Guinea,papua new guinea,-9.4743301,147.1599504,80.7,19.3,80.79,81.93,18.07,35.9,60.3,4.0,8935000.0,19.0,1,317374.0,198545.1875,1,317374.0,198545.1875,1,317374.0,198545.1875,2093.3017578125,2706966.0,841.492431640625,61.70000076293945,38.29999923706055,0,62.23333740234375,37.76666641235352,60.70000076293945,39.29999923706055,54.20000076293945,45.79999923706055,60.77033233642578,39.22966003417969,0,0,0,60.70000076293945,39.29999923706055,0,12.66783931900698,12.198777034662628,12.66783931900698,12.198777034662628,12.66783931900698,12.198777034662628,14.811339377905211,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.0,7.646975486975871,6.7363646789702925,0.0,0.0,0.0,0.0,0.0,Papua New Guinea,papua new guinea,papua new guinea,23077.0,2681.4,2.5,9.8,62.9,65.4,41.9,2.2,140.0
Johannesburg,South Africa,south africa,-26.205,28.049722,80.7,19.3,76.86,77.49,22.51,29.0,65.7,5.0,58775022.0,48.0,15,11476027.0,45083284.0,25,12399809.0,45084068.0,42,15894194.0,45085232.0,0.4166351854801178,7860781.0,52.88252639770508,82.0,18.0,1,69.663330078125,30.336668014526367,73.37799835205078,26.621999740600582,69.7040023803711,30.29599952697754,77.34004974365234,22.659942626953125,0,1,1,76.96400451660156,23.035999298095703,1,16.255770895954935,17.624022114933457,16.33319170787723,17.62403950481938,16.58146450618767,17.62406532291876,15.877396650550626,2.772588722239781,3.258096538021482,3.7612001156935615,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.3482844720072686,3.9868062397841153,1.8137777070232697,1.216065395715131,-0.3873693349004452,-0.3873687826700298,-0.4157013578664545,South Africa,south africa,south africa,368094.0,6369.2,28.5,36.4,60.2,67.1,27.2,2.2,10472.0
San Pedro Sula,Honduras,honduras,15.5053535,-88.0250839,80.5,19.5,74.54,76.11,23.89,31.6,63.7,5.0,9158345.0,81.0,6,1239669.0,76594336.0,10,1597716.0,76594736.0,21,2133256.0,76594816.0,0.0958927348256111,719064.0,236.95309448242188,66.19999694824219,33.79999923706055,0,59.81666564941406,40.18333435058594,52.4900016784668,47.51000213623047,52.845001220703125,47.15499877929688,57.04670333862305,42.95329666137695,0,0,1,52.4900016784668,47.51000213623047,0,14.030355773130347,18.15403370247398,14.28408629325448,18.154038924778543,14.573160477771626,18.154039969236184,13.485707035955018,1.9459101490553128,2.3978952727983707,3.091042453358316,0.0,0.0,0.6931471805599453,0.0,0.0915693140516123,5.472073572241634,0.0,0.0,0.0,0.0,0.0,Honduras,honduras,honduras,23970.0,2500.1,5.2,38.9,72.7,77.3,15.0,3.0,851.0
Kabul,Afghanistan,afghanistan,34.5269503,69.1850584,79.8,20.2,76.31,76.23,23.77,43.2,54.2,3.0,31575018.0,49.0,3,4447836.0,10222945.0,6,4555852.0,10223039.0,14,4941392.0,10223121.0,0.6455473899841309,4273156.0,369.00927734375,31.200000762939453,68.80000305175781,0,39.16666793823242,60.83333206176758,38.89200592041016,61.108001708984375,45.84600067138672,54.15400314331055,39.19597244262695,60.80403900146485,0,0,0,38.89200592041016,61.108001708984375,0,15.307928468557632,16.14014535951841,15.331923337883817,16.140154554477267,15.413157833219811,16.14016257554254,15.267863456286774,1.3862943611198906,1.9459101490553128,2.70805020110221,0.0,0.0,0.0,0.0,0.4980730887338216,5.913528079225952,0.0,0.0,0.0,0.0,0.0,Afghanistan,afghanistan,afghanistan,20514.0,551.9,11.2,6.7,62.8,65.8,51.7,4.0,7.0
Rio de Janeiro,Brazil,brazil,-22.9110137,-43.2093727,77.6,22.4,67.49,68.88,31.12,21.7,69.7,9.0,211270518.0,25.0,3,13985440.0,83962168.0,8,14845148.0,83962712.0,37,16313132.0,83963000.0,0.3862776756286621,12592000.0,340.89532470703125,63.70000076293945,36.29999923706055,1,67.0,33.0,61.84400177001953,38.15599822998047,61.99200439453125,38.00800323486328,62.19319534301758,37.80682373046875,0,0,0,61.84400177001953,38.15599822998047,0,16.453527417907218,18.24587688631337,16.513183703179138,18.245883365400847,16.60748104689201,18.245886795488985,16.34857232905482,1.3862943611198906,2.19722457733622,3.6375861597263857,0.0,0.0,0.0,0.0,0.3266222238681222,5.834504622106107,0.971554625230998,0.4580485636809397,-0.2784070787191815,-0.2784072604602555,-0.4170224657794546,Brazil,brazil,brazil,1868613.0,8920.7,12.0,27.4,71.9,79.3,13.0,1.2,6621.0
Fortaleza,Brazil,brazil,-3.7304512,-38.5217989,77.3,22.7,67.49,68.88,31.12,21.7,69.7,9.0,211270518.0,25.0,5,4892823.0,8189105.5,11,5204400.0,8189437.5,34,5787828.0,8189557.5,0.7125291228294373,4167996.0,433.6449890136719,77.19999694824219,22.799999237060547,1,76.73333740234375,23.26666831970215,67.16400146484375,32.83599853515625,67.69200134277344,32.30799865722656,72.4193344116211,27.58065414428711,0,0,0,67.16400146484375,32.83599853515625,0,15.403280199871626,15.918315353418704,15.465015171756548,15.918355894260404,15.571267822413184,15.9183705471723,15.242946142645406,1.791759469228055,2.4849066497880004,3.555348061489413,0.0,0.0,0.0,0.0,0.5379712970414305,6.074529580673782,-0.1261666585715264,-0.3386003073863659,-0.3221368322423488,-0.3221371084864731,-0.415625634506137,Brazil,brazil,brazil,1868613.0,8920.7,12.0,27.4,71.9,79.3,13.0,1.2,6621.0
Natal,Brazil,brazil,-5.805398,-35.2080905,77.2,22.8,67.49,68.88,31.12,21.7,69.7,9.0,211270518.0,25.0,5,1194309.0,559988.5625,14,1439935.0,560217.1875,33,1776935.0,560287.875,1.159631371498108,751300.0,253.0609588623047,76.4000015258789,23.600000381469727,1,76.76667022705078,23.23333549499512,67.94400787353516,32.055999755859375,67.7020034790039,32.29800033569336,73.75027465820312,26.24971008300781,0,0,0,67.94400787353516,32.055999755859375,0,13.993079170727048,13.235673424144778,14.180109226120056,13.236081607364676,14.390401090731311,13.236207777921663,13.529561649382588,1.791759469228055,2.70805020110221,3.5263605246161616,0.0,0.0,0.0,0.0,0.769937545788301,5.537574233745104,-0.5547986851144534,-0.6421804586505726,-0.326539755648273,-0.3265400601044134,-0.4137113858225849,Brazil,brazil,brazil,1868613.0,8920.7,12.0,27.4,71.9,79.3,13.0,1.2,6621.0
