feature,importance
crimeindex_2023,0.436052033232084
wavg_crime_k5,0.12136104793060633
wavg_safety_k5,0.09908079652865442
safetyindex_2020,0.032805392906894826
crimeindex_2020,0.025818171447691954
log1p_sum_pop_50km,0.02120246728893035
log1p_sum_pop_100km,0.018513942922392657
log1p_pop_of_nearest_large_city,0.0174566153266361
crime_nearest_labeled_city,0.014011767717706012
safety_nearest_labeled_city,0.013345275772683204
lon,0.012851383172817197
avg_safety_same_country_k5,0.01258617867327254
log1p_dist_nearest_labeled_city,0.011072327562121847
dist_nearest_labeled_city,0.011044803144247198
avg_crime_same_country_k5,0.010617919616173298
avg_crime_k10,0.010370216538162417
lat,0.01022554830995558
log1p_num_cities_50km,0.009571616978801415
avg_safety_k10,0.008377541232257498
log1p_dist_to_nearest_large_city,0.007658533683444482
log1p_num_cities_100km,0.007491057409898819
dist_to_nearest_large_city,0.007406639757142531
log1p_pop_gravity_100km,0.007398021906182772
log1p_pop_gravity_50km,0.006171055134192055
avg_safety_k5,0.006096287320652325
avg_crime_k5,0.006010169875128713
density_per_km2,0.0046707079716985156
log1p_num_labeled_within_250km,0.004631964769054031
unemployment,0.0044431792461813065
age_15_64,0.004329079746120418
tourists,0.003710595220161199
homicide_rate,0.003472039987835481
gdp,0.0032680886180708434
age_0_14,0.0031579247145462515
urban_population_growth,0.003129936575631869
log1p_num_labeled_within_50km,0.003113902667064513
log1p_num_same_country_within_250km,0.003037474216954912
gdp_per_capita,0.002848452153623722
population,0.0025546449745867637
life_expectancy_female,0.0022369257589099543
log1p_num_labeled_within_100km,0.0017100743311535087
age_65_plus,0.001638464536275194
infant_mortality,0.001309976913623504
life_expectancy_male,0.0012472133723854099
same_country_as_nearest_labeled,0.0008925428373918425
