model_name,hidden_dims,dropout,lr,weight_decay,batch_size,n_epochs,rmse,mae,r2
safety_v1_wide_low_dropout,"(128, 64)",0.1,0.001,0.0001,32,300,1.0833203730663814,0.730556845664978,0.9951795339584351
safety_v1_low_dropout,"(64, 32)",0.1,0.001,0.0001,32,300,1.2604435951992345,0.9494338631629944,0.9934744238853455
safety_v1_wide,"(128, 64)",0.2,0.001,0.0001,32,300,1.2732628544597286,0.9727531671524048,0.9933409690856934
safety_v1_e400,"(64, 32)",0.2,0.001,0.0001,32,400,1.4913990274357345,1.188551902770996,0.9908639192581177
safety_v1_higher_wd,"(64, 32)",0.2,0.001,0.0005,32,300,1.6048689044165443,1.287032127380371,0.9894208312034607
safety_v1_e300,"(64, 32)",0.2,0.001,0.0001,32,300,1.6128246039793954,1.2907531261444092,0.9893156886100769
safety_v1_small,"(32, 16)",0.2,0.001,0.0001,32,300,1.6684975422402977,1.317554235458374,0.9885653257369995
safety_v1_deeper,"(128, 64, 32)",0.2,0.001,0.0001,32,300,1.8457018978377204,1.5871859788894653,0.9860074520111084
safety_v1_e200,"(64, 32)",0.2,0.001,0.0001,32,200,1.964363175883619,1.5121537446975708,0.9841504693031311
safety_v1_narrow_deep,"(64, 32, 16)",0.2,0.001,0.0001,32,300,3.194616563739512,2.3347463607788086,0.9580810070037842
