name,hidden,dropout,lr,weight_decay,epochs_planned,best_val_mse,best_epoch,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2
v6_128_128,"(128, 128)",0.2,0.0007,0.0005,500,15.424335479736328,447,3.2466928958892822,6.76228666305542,4.511689157099918,9.171943625302253,0.9120012521743774,0.6544617414474487
v6_256_256_128_64,"(256, 256, 128, 64)",0.3,0.0007,0.0005,600,13.809134483337402,368,2.8643290996551514,6.79313325881958,3.92587113158923,9.332759249152241,0.9333699345588684,0.6422386169433594
v6_512_256,"(512, 256)",0.4,0.0005,0.001,600,11.988299369812012,447,2.5534298419952393,6.943064212799072,3.557072972975224,9.362045085535199,0.9453004598617554,0.6399897933006287
v6_128_64_32,"(128, 64, 32)",0.2,0.001,0.0001,400,17.9221134185791,330,3.5599613189697266,6.916325092315674,4.855627841445341,9.387097094305041,0.8980730175971985,0.6380605697631836
v6_256_256,"(256, 256)",0.3,0.0007,0.0005,500,11.936253547668457,493,2.3324127197265625,7.030945301055908,3.2913617503908674,9.48227242254778,0.9531672596931458,0.630683958530426
v6_256_256_lowlr,"(256, 256)",0.3,0.0003,0.001,800,8.535467147827148,786,2.3399243354797363,6.930566310882568,3.2753782505263414,9.493593565485153,0.9536210298538208,0.6298015117645264
v6_256_128_64,"(256, 128, 64)",0.2,0.0007,0.0005,500,9.681282043457031,417,2.5063514709472656,7.064314842224121,3.469437814513945,9.569422391642453,0.9479624629020691,0.6238640546798706
v6_512,"(512,)",0.4,0.0007,0.001,500,29.2078914642334,500,3.8018884658813477,7.038431644439697,5.210533206474781,9.571941427061986,0.8826285004615784,0.6236660480499268
v6_128_128_64_32,"(128, 128, 64, 32)",0.25,0.0007,0.0005,600,29.330875396728516,391,3.7455694675445557,7.316930294036865,5.092668664280596,9.614283950018432,0.88787841796875,0.6203291416168213
v6_256_64_32,"(256, 64, 32)",0.2,0.0007,0.0005,500,13.728859901428223,500,2.8992557525634766,7.043182373046875,4.072072181406653,9.616601623985138,0.9283148646354675,0.6201461553573608
v6_64_32_16,"(64, 32, 16)",0.1,0.0007,0.0001,500,31.28080177307129,335,4.099727630615234,7.35804557800293,5.625470968239188,9.702738141442664,0.8631905317306519,0.6133108735084534
v6_256,"(256,)",0.0,0.001,0.0001,400,18.790027618408203,392,3.74157452583313,7.141610145568848,5.111044701315258,9.719695508292725,0.8870678544044495,0.6119580268859863
v6_256_128,"(256, 128)",0.2,0.001,0.0001,400,13.353303909301758,400,2.5946953296661377,7.118334770202637,3.6555027646469247,9.77146270828849,0.942231297492981,0.6078135967254639
v6_128_64_lowlr,"(128, 64)",0.2,0.0003,0.001,800,28.611133575439453,727,3.862020969390869,7.299568176269531,5.349424149369574,9.792786446248888,0.8762878179550171,0.6061000823974609
v6_64,"(64,)",0.0,0.001,0.0001,400,48.982383728027344,390,4.826490879058838,7.360208034515381,6.426151680052305,9.834319717159719,0.8214744925498962,0.6027517318725586
v6_128_64,"(128, 64)",0.1,0.001,0.0001,400,20.24266815185547,400,2.6166279315948486,7.040849208831787,3.662465347282339,9.83622022590586,0.9420110583305359,0.6025981903076172
v6_64_64_32,"(64, 64, 32)",0.1,0.001,0.0001,400,25.16956901550293,262,4.087522983551025,7.309724807739258,5.529653545101847,9.872742986482958,0.8678113222122192,0.5996415615081787
v6_128,"(128,)",0.0,0.001,0.0001,400,27.317747116088867,398,4.0833539962768555,7.33421516418457,5.4940991391630485,9.903290604386093,0.869505763053894,0.5971602201461792
v6_128_128_64,"(128, 128, 64)",0.25,0.0007,0.0005,500,25.38888168334961,314,3.763190984725952,7.430387020111084,5.144892721142059,10.162891833644757,0.8855670690536499,0.5757635831832886
v6_32,"(32,)",0.0,0.001,0.0001,300,113.60014343261719,300,6.769546985626221,8.012102127075195,8.655388413941422,10.59111741925641,0.6761294603347778,0.5392589569091797
