model_name,hidden_dims,dropout,lr,weight_decay,batch_size,n_epochs,rmse,mae,r2
safety_pop_v1_e400,"(64, 32)",0.2,0.001,0.0001,32,400,10.797746946068338,8.495048522949219,0.5211057662963867
safety_pop_v1_low_dropout,"(64, 32)",0.1,0.001,0.0001,32,300,10.8917451170295,8.572492599487305,0.5127315521240234
safety_pop_v1_deeper,"(128, 64, 32)",0.2,0.001,0.0001,32,300,10.919253404407646,8.67149543762207,0.5102671384811401
safety_pop_v1_wide_low_dropout,"(128, 64)",0.1,0.001,0.0001,32,300,10.954759679863118,8.6777982711792,0.5070770382881165
safety_pop_v1_e300,"(64, 32)",0.2,0.001,0.0001,32,300,10.961148402060441,8.672566413879395,0.5065019130706787
safety_pop_v1_higher_wd,"(64, 32)",0.2,0.001,0.0005,32,300,10.962252613438528,8.663687705993652,0.5064024925231934
safety_pop_v1_narrow_deep,"(64, 32, 16)",0.2,0.001,0.0001,32,300,10.967061752422357,8.72863483428955,0.5059692859649658
safety_pop_v1_wide,"(128, 64)",0.2,0.001,0.0001,32,300,10.97605092224231,8.654711723327637,0.5051591396331787
safety_pop_v1_e200,"(64, 32)",0.2,0.001,0.0001,32,200,11.14624155788395,8.886550903320312,0.4896944761276245
safety_pop_v1_small,"(32, 16)",0.2,0.001,0.0001,32,300,11.159660608743607,8.8229398727417,0.48846501111984253
