feature,importance_mean,importance_std
crimeindex_2023,2.1743875617303283,0.2695591515820777
crimeindex_2020,0.7642138323563222,0.1474916812778482
wavg_safety_k5,0.7329702584788778,0.141871580358046
safetyindex_2020,0.6938572818952687,0.1372292525343606
wavg_crime_k5,0.6629436997991075,0.12114446099106659
log1p_dist_nearest_labeled_city,0.2843521627162492,0.08107222584340601
crime_nearest_labeled_city,0.16841314420241565,0.0557024167841016
safety_nearest_labeled_city,0.14130949702759896,0.06150350658377726
avg_safety_same_country_k5,0.13098356424711913,0.04618809565883947
avg_crime_same_country_k5,0.13094183760007685,0.04585788854315112
tourists,0.10590290722819991,0.029147539401788016
gdp,0.09930601046521682,0.020813257920185794
avg_crime_k10,0.07869652925347535,0.035457564327266496
log1p_num_labeled_within_50km,0.07566182583402549,0.025147587907184066
log1p_sum_pop_50km,0.07245733880095043,0.043209065275595565
dist_nearest_labeled_city,0.07073367394928548,0.03919060121307433
log1p_num_labeled_within_100km,0.06890103233864503,0.01094641527877372
avg_safety_k10,0.06864141502446669,0.03301543929556531
avg_crime_k5,0.06371793543573752,0.025765958285122088
population,0.06252655437295615,0.011362113883659935
log1p_num_cities_50km,0.06181737717912294,0.02380301340446919
avg_safety_k5,0.058162025423858545,0.023863129482159327
lat,0.05355020406327166,0.017299250196032245
log1p_pop_of_nearest_large_city,0.05046762847125841,0.050555945908030905
log1p_dist_to_nearest_large_city,0.04474443595447302,0.055623856216295946
same_country_as_nearest_labeled,0.0424272565000237,0.04905203952189942
log1p_num_cities_100km,0.04225687206811178,0.022663832426189693
log1p_num_labeled_within_250km,0.040509043473383716,0.030851924116494484
homicide_rate,0.04017355709589765,0.055776751845389654
dist_to_nearest_large_city,0.03584688599616482,0.031128592849943345
density_per_km2,0.030884291854574166,0.017026195032927214
age_15_64,0.027888231947214,0.011608789519256282
log1p_sum_pop_100km,0.02214604400756682,0.03811223140176243
unemployment,0.02102312327062279,0.024484269295978935
gdp_per_capita,0.016442361885541955,0.014633081778422687
age_0_14,0.01510373695826234,0.013084523201863412
age_65_plus,0.013016410373817185,0.012581483802141814
life_expectancy_male,0.008047310959805997,0.012932606262343363
infant_mortality,0.00751243237708934,0.01082386076569056
lon,0.003221128680043961,0.02323588209716535
urban_population_growth,0.0031022055056113846,0.008220769416597766
life_expectancy_female,0.0029974512665951634,0.01257132572777284
log1p_num_same_country_within_250km,-0.007973020385473362,0.02367441347555405
log1p_pop_gravity_50km,-0.01896023360536804,0.023813482045544503
log1p_pop_gravity_100km,-0.029110522203320718,0.029967004200084087
