feature_set_name,hidden_sizes,dropout,lr,weight_decay,optimizer,scheduler,batch_size,activation,loss_name,use_batchnorm,seed,block,run_id,n_features,uses_crime,uses_safety,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,elapsed_sec,best_epoch,feature_list
all_features,"(256, 256)",0.3,0.0003,0.0001,adamw,plateau,128,relu,mse,True,52,block2_mixed_feature_sets,787,45,1,1,1.8938868260310244,2.65106929841805,0.9706508355100242,6.112160090004526,8.163413368479299,0.6649172366374645,6.416161906672459,8.941663021823121,0.6715948914420923,10.543830871582031,620,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | crimeindex_2023 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
all_without_current_crime_only,"(256, 256, 128)",0.3,0.0005,0.001,adam,plateau,256,gelu,mse,True,52,block2_mixed_feature_sets,1836,44,1,1,2.1655483184814455,2.786727470062536,0.9675703262858304,5.3206283401861425,7.0441986980052675,0.7504993351551288,6.716122707292145,9.248643758922706,0.6486585336583137,12.101783275604248,638,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | crimeindex_2020 | safetyindex_2020 | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
crime_only_subset,"(128, 128)",0.25,0.001,0.0001,adam,cosine,128,relu,mse,False,52,block2_mixed_feature_sets,1595,2,1,0,7.569263537128156,10.036215586628579,0.5793764878907859,6.910115317367926,9.224596644226635,0.5721384282750852,8.406253033058315,10.80543356876377,0.5204237120741314,5.726621866226196,429,crimeindex_2020 | crimeindex_2023
geo_knn_density_macro,"(512, 256, 128)",0.3,0.0005,0.0005,adamw,plateau,128,gelu,mse,True,52,block2_mixed_feature_sets,1884,37,1,1,1.5917705951397234,2.0640669355405246,0.9822089682144525,5.837966229508563,7.779286558765375,0.6957097403854767,7.535552893993902,10.118756027404174,0.5794403950653526,15.960371017456055,623,lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
geo_knn_macro,"(512, 256)",0.2,0.0003,0.0005,adamw,plateau,256,relu,mse,True,62,block2_mixed_feature_sets,904,28,1,1,2.6670599938025843,3.630120492598347,0.9449704878201296,6.464525351175447,8.65228913404733,0.623581846962595,7.19697977477429,9.620652274448505,0.6198260612055397,11.192336082458496,673,lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
geo_knn_macro_plus_city_crime_only,"(512, 256, 128)",0.2,0.001,0.002,adam,plateau,256,gelu,mse,True,52,block2_mixed_feature_sets,1158,30,1,1,2.2377180485652044,3.0971370963006577,0.9599433669598847,5.5708580863766555,7.67454957141835,0.7038482502116818,6.282214515536439,8.11417955306321,0.7295652266455045,7.380463600158691,312,lat | lon | dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | crime_nearest_labeled_city | safety_nearest_labeled_city | same_country_as_nearest_labeled | avg_crime_k5 | avg_safety_k5 | avg_crime_k10 | avg_safety_k10 | wavg_crime_k5 | wavg_safety_k5 | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | avg_crime_same_country_k5 | avg_safety_same_country_k5 | log1p_num_same_country_within_250km | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists | crimeindex_2020 | crimeindex_2023
geo_macro_plus_city_crime_only,"(256, 256, 128)",0.3,0.0003,0.001,adamw,cosine,64,relu,smooth_l1,False,52,block2_mixed_feature_sets,1525,13,1,0,7.9295525991586535,10.199081605508084,0.5656141045850686,7.238082179557986,9.344164060961608,0.5609748280022706,8.114994105170755,10.438530343720064,0.552439219583241,9.07933759689331,373,lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists | crimeindex_2020 | crimeindex_2023
no_crime_no_safety_all_remaining,"(128, 128)",0.25,0.0005,0.002,adam,plateau,64,relu,mse,True,42,block1_no_crime_no_safety,258,32,0,0,5.993378433931792,7.6486153289076215,0.7557023885130002,8.055594988567073,9.777561834410898,0.5193049454908674,9.4581373611151,11.846227283582573,0.4235874498037039,5.88849949836731,278,dist_nearest_labeled_city | log1p_dist_nearest_labeled_city | same_country_as_nearest_labeled | log1p_num_labeled_within_50km | log1p_num_labeled_within_100km | log1p_num_labeled_within_250km | log1p_num_same_country_within_250km | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city | lat | lon | age_0_14 | age_15_64 | age_65_plus | population | density_per_km2 | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
no_crime_no_safety_geo_density_only,"(128, 128, 64)",0.35,0.0005,0.0001,adam,plateau,256,relu,smooth_l1,True,42,block1_no_crime_no_safety,277,11,0,0,8.087820709698018,10.502823007076787,0.5393557276926721,9.331010712414253,11.290485954045979,0.3590357882872214,10.91843536601347,13.355304519519485,0.2673764135696315,9.12623929977417,650,lat | lon | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city
no_crime_no_safety_geo_macro_density,"(512, 256)",0.2,0.0007,0.001,adam,plateau,256,relu,mse,True,42,block1_no_crime_no_safety,487,20,0,0,4.185560186063326,5.6359286728401425,0.8673569321196593,8.232499156114532,9.833379555223965,0.5138009375404359,9.07907153110878,11.489376211784773,0.4577916428465322,6.126368999481201,322,lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists | log1p_num_cities_50km | log1p_sum_pop_50km | log1p_pop_gravity_50km | log1p_num_cities_100km | log1p_sum_pop_100km | log1p_pop_gravity_100km | dist_to_nearest_large_city | log1p_dist_to_nearest_large_city | log1p_pop_of_nearest_large_city
no_crime_no_safety_geo_macro_only,"(512, 256)",0.25,0.0007,0.0005,adamw,cosine,128,relu,mse,True,42,block1_no_crime_no_safety,21,11,0,0,7.582157843017577,9.70841478197403,0.6064044066585045,7.768259813262195,9.539893469994592,0.5423899415769347,8.978347116358139,11.294957364890498,0.47598647274570194,7.392223596572876,367,lat | lon | gdp | gdp_per_capita | unemployment | homicide_rate | life_expectancy_male | life_expectancy_female | infant_mortality | urban_population_growth | tourists
