feature_set_name,hidden_sizes,dropout,lr,weight_decay,optimizer,scheduler,batch_size,activation,loss_name,use_batchnorm,seed,block,run_id
no_crime_no_safety_geo_macro_only,"(128, 128, 64)",0.3,0.001,0.0005,adamw,plateau,128,relu,mse,True,52,block1_no_crime_no_safety,1
no_crime_no_safety_geo_macro_only,"(128, 128, 64)",0.25,0.0007,0.0005,adamw,plateau,256,relu,mse,True,42,block1_no_crime_no_safety,2
no_crime_no_safety_geo_density_only,"(256, 256)",0.1,0.0005,0.0001,adam,plateau,256,gelu,mse,False,52,block1_no_crime_no_safety,3
no_crime_no_safety_geo_density_only,"(256, 256)",0.3,0.0007,0.001,adam,plateau,64,relu,mse,False,42,block1_no_crime_no_safety,4
no_crime_no_safety_geo_macro_density,"(128, 128, 64)",0.25,0.001,0.0005,adamw,plateau,64,relu,mse,True,42,block1_no_crime_no_safety,5
no_crime_no_safety_geo_macro_density,"(128, 128, 64)",0.35,0.001,0.001,adamw,plateau,64,gelu,smooth_l1,False,52,block1_no_crime_no_safety,6
no_crime_no_safety_geo_macro_density,"(128, 128, 64)",0.25,0.0003,0.0005,adam,cosine,128,relu,mse,False,42,block1_no_crime_no_safety,7
no_crime_no_safety_geo_density_only,"(128, 128, 64)",0.35,0.0007,0.0005,adam,cosine,64,relu,mse,True,42,block1_no_crime_no_safety,8
no_crime_no_safety_geo_density_only,"(512, 256)",0.2,0.0005,0.0001,adamw,cosine,256,gelu,smooth_l1,False,42,block1_no_crime_no_safety,9
no_crime_no_safety_all_remaining,"(128, 128)",0.25,0.001,0.0005,adam,plateau,64,gelu,mse,False,42,block1_no_crime_no_safety,10
no_crime_no_safety_geo_macro_density,"(256, 128, 64)",0.25,0.001,0.0001,adam,cosine,256,gelu,mse,False,52,block1_no_crime_no_safety,11
no_crime_no_safety_geo_macro_density,"(256, 128, 64)",0.25,0.0007,0.002,adam,plateau,128,gelu,smooth_l1,False,42,block1_no_crime_no_safety,12
no_crime_no_safety_geo_macro_density,"(256, 256)",0.2,0.001,0.0005,adam,plateau,128,gelu,mse,False,42,block1_no_crime_no_safety,13
no_crime_no_safety_geo_macro_only,"(256, 256)",0.35,0.0003,0.0001,adam,cosine,64,gelu,smooth_l1,False,42,block1_no_crime_no_safety,14
