country,country_norm,crimeindex_2020,crimeindex_2023,safetyindex_2020,age_0_14,age_15_64,age_65_plus,population,density_per_km2
Venezuela,venezuela,84.49,83.76,15.51,27.6,65.8,7.0,32219521.0,35.0
South Africa,south africa,77.49,76.86,22.51,29.0,65.7,5.0,58775022.0,48.0
Papua New Guinea,papua new guinea,81.93,80.79,18.07,35.9,60.3,4.0,8935000.0,19.0
Honduras,honduras,76.11,74.54,23.89,31.6,63.7,5.0,9158345.0,81.0
Afghanistan,afghanistan,76.23,76.31,23.77,43.2,54.2,3.0,31575018.0,49.0
Brazil,brazil,68.88,67.49,31.12,21.7,69.7,9.0,211270518.0,25.0
Trinidad And Tobago,trinidad and tobago,73.19,73.19,26.81,20.7,69.3,10.0,1363985.0,265.0
MD,united states,47.2,47.81,52.8,18.9,65.7,15.0,329470935.0,34.0
Argentina,argentina,61.77,63.82,38.23,24.9,63.9,11.0,44938712.0,16.0
Australia,australia,41.36,43.03,58.64,19.0,65.5,16.0,25649909.0,3.0
Ecuador,ecuador,50.9,55.23,49.1,28.4,64.5,7.0,17446584.0,63.0
Mexico,mexico,53.97,54.19,46.03,26.7,66.5,7.0,126577691.0,64.0
Peru,peru,68.15,66.72,31.85,27.4,65.5,7.0,32162184.0,25.0
Jamaica,jamaica,66.04,67.42,33.96,22.7,67.6,10.0,2726667.0,248.0
Colombia,colombia,54.79,56.87,45.21,23.5,68.9,8.0,46202800.0,40.0
Syria,syria,66.46,67.18,33.54,36.6,59.1,4.0,17070135.0,92.0
United Kingdom,united kingdom,43.71,46.07,56.29,17.7,63.8,19.0,66435600.0,274.0
Namibia,namibia,67.21,65.21,32.79,36.7,59.8,4.0,2413643.0,2.9
Puerto Rico,puerto rico,65.63,62.84,34.37,15.9,63.8,20.3,3203792.0,361.0
Nigeria,nigeria,63.77,64.06,36.23,44.0,53.3,3.0,200962000.0,218.0
Dominican Republic,dominican republic,61.16,61.02,38.84,29.3,63.7,7.0,10358320.0,216.0
El Salvador,el salvador,67.96,67.79,32.04,27.4,64.4,8.0,6704864.0,319.0
Philippines,philippines,42.16,42.46,57.84,31.7,63.5,5.0,108420484.0,361.0
France,france,46.79,51.99,53.21,18.1,62.2,20.0,67060000.0,123.0
Italy,italy,44.26,44.85,55.74,13.5,63.5,23.0,60252824.0,200.0
Guatemala,guatemala,57.83,58.67,42.17,35.1,60.3,5.0,17679735.0,162.0
Kazakhstan,kazakhstan,62.02,53.77,37.98,27.9,65.1,7.0,18592700.0,7.0
Bangladesh,bangladesh,63.94,63.9,36.06,28.4,66.5,5.0,168287530.0,1169.0
AB,canada,39.67,41.89,60.33,16.0,67.0,17.0,37961548.0,4.0
Malaysia,malaysia,58.84,57.29,41.16,24.3,69.4,6.0,32722760.0,99.0
Maldives,maldives,53.21,55.34,46.79,23.4,72.5,4.0,374775.0,1258.0
Libya,libya,62.19,61.78,37.81,28.2,67.4,4.0,6470956.0,3.7
Chile,chile,45.23,53.42,54.77,20.3,68.6,11.0,17373831.0,23.0
Zimbabwe,zimbabwe,57.47,59.3,42.53,41.2,56.0,3.0,15159624.0,39.0
Belgium,belgium,43.98,44.58,56.02,17.1,64.3,19.0,11524454.0,376.0
