rank,country,area_km2,area_mi2,population,density_per_km2,density_per_mi2,date,population_source,country_norm
–,Abkhazia,8660.0,3344.0,243206,28.0,73.0,"April 27, 2018",,abkhazia
128,Afghanistan,645807.0,249347.0,31575018,49.0,127.0,"July 1, 2018",Official estimate,afghanistan
84,Albania,28703.0,11082.0,2862427,100.0,259.0,"January 1, 2019",Official annual estimate,albania
168,Algeria,2381741.0,919595.0,43000000,18.0,47.0,"January 1, 2019",Official Projection,algeria
–,American Samoa (US),197.0,76.0,57100,290.0,751.0,"July 1, 2020",Annual projection,american samoa (us)
53,Andorra,464.0,179.0,76177,164.0,425.0,"December 31, 2018",Official estimate,andorra
157,Angola,1246700.0,481354.0,29250009,23.0,60.0,"January 1, 2018",Official estimate,angola
–,Anguilla (UK),96.0,37.0,13452,140.0,363.0,"May 11, 2011",Preliminary 2011 census result,anguilla (uk)
40,Antigua and Barbuda,442.0,171.0,104084,235.0,609.0,"July 1, 2019",UN projection,antigua and barbuda
173,Argentina,2780400.0,1073518.0,44938712,16.0,41.0,"July 1, 2019",Annual official estimate,argentina
87,Armenia,29743.0,11484.0,2957500,99.0,256.0,"September 30, 2019",Official quarterly estimate,armenia
–,Artsakh,11458.0,4424.0,150932,13.0,34.0,"October 14, 2015",,artsakh
–,Aruba (Kingdom of the Netherlands),180.0,69.0,112309,624.0,1616.0,"January 1, 2019",Official estimate,aruba (kingdom of the netherlands)
192,Australia,7692024.0,2969907.0,25649909,3.0,9.0,"March 18, 2020",Official estimate,australia
76,Austria,83879.0,32386.0,8902600,106.0,275.0,"January 1, 2020",Official quarterly estimate,austria
72,Azerbaijan,86600.0,33436.0,10067108,116.0,300.0,"January 1, 2020",Official publication,azerbaijan
150,Bahamas,13940.0,5382.0,386870,28.0,73.0,"July 1, 2018",Official Projection,bahamas
4,Bahrain,778.0,300.0,1543300,1983.0,5136.0,"July 1, 2019",Official annual projection,bahrain
7,Bangladesh,143998.0,55598.0,168287530,1169.0,3027.0,"March 18, 2020",Official population clock,bangladesh
9,Barbados,430.0,166.0,287025,668.0,1730.0,"July 1, 2019",UN projection,barbados
133,Belarus,207600.0,80155.0,9465300,46.0,119.0,"April 1, 2019",Quarterly official estimate,belarus
