city,lat,lon,country,population,country_norm,city_norm
Tokyo,35.687,139.7495,Japan,37785000.0,japan,tokyo
Jakarta,-6.175,106.8275,Indonesia,33756000.0,indonesia,jakarta
Delhi,28.61,77.23,India,32226000.0,india,delhi
Guangzhou,23.13,113.26,China,26940000.0,china,guangzhou
Mumbai,19.0761,72.8775,India,24973000.0,india,mumbai
Manila,14.5958,120.9772,Philippines,24922000.0,philippines,manila
Shanghai,31.2286,121.4747,China,24073000.0,china,shanghai
São Paulo,-23.5504,-46.6339,Brazil,23086000.0,brazil,são paulo
Seoul,37.5667,126.9833,"Korea, South",23016000.0,"korea, south",seoul
Mexico City,19.4333,-99.1333,Mexico,21804000.0,mexico,mexico city
Kolkāta,22.5675,88.37,India,21747000.0,india,kolkāta
Cairo,30.0444,31.2358,Egypt,20296000.0,egypt,cairo
Karachi,24.86,67.01,Pakistan,20249000.0,pakistan,karachi
Dhaka,23.7289,90.3944,Bangladesh,19134000.0,bangladesh,dhaka
New York,40.6943,-73.9249,United States,18832416.0,united states,new york
Beijing,39.9067,116.3975,China,18522000.0,china,beijing
Bangkok,13.7525,100.4942,Thailand,18007000.0,thailand,bangkok
Shenzhen,22.5415,114.0596,China,17619000.0,china,shenzhen
Moscow,55.7506,37.6175,Russia,17332000.0,russia,moscow
Buenos Aires,-34.6036,-58.3814,Argentina,16710000.0,argentina,buenos aires
Lagos,6.455,3.3841,Nigeria,16637000.0,nigeria,lagos
Bangalore,12.9789,77.5917,India,15386000.0,india,bangalore
Ho Chi Minh City,10.7756,106.7019,Vietnam,15136000.0,vietnam,ho chi minh city
Ōsaka,34.6939,135.5022,Japan,15126000.0,japan,ōsaka
Chengdu,30.66,104.0633,China,14645000.0,china,chengdu
Istanbul,41.0136,28.955,Turkey,14441000.0,turkey,istanbul
Tehran,35.6889,51.3897,Iran,14148000.0,iran,tehran
Kinshasa,-4.3219,15.3119,Congo (Kinshasa),12836000.0,congo (kinshasa),kinshasa
Rio de Janeiro,-22.9111,-43.2056,Brazil,12592000.0,brazil,rio de janeiro
Chennai,13.0825,80.275,India,12395000.0,india,chennai
Xi’an,34.2611,108.9422,China,12328000.0,china,xi’an
Lahore,31.5497,74.3436,Pakistan,12306000.0,pakistan,lahore
Chongqing,29.5637,106.5504,China,12135000.0,china,chongqing
Los Angeles,34.1141,-118.4068,United States,11885717.0,united states,los angeles
London,51.5072,-0.1275,United Kingdom,11262000.0,united kingdom,london
Paris,48.8567,2.3522,France,11060000.0,france,paris
Linyi,35.1038,118.3564,China,10820000.0,china,linyi
Dongguan,23.021,113.752,China,10646000.0,china,dongguan
Baoding,38.874,115.464,China,10546831.0,china,baoding
Hyderābād,17.3617,78.4747,India,10494000.0,india,hyderābād
Tianjin,39.1336,117.2054,China,10368000.0,china,tianjin
Lima,-12.06,-77.0375,Peru,10320000.0,peru,lima
Wuhan,30.5934,114.3046,China,10251000.0,china,wuhan
Nanyang,32.9902,112.5285,China,9577771.0,china,nanyang
Hangzhou,30.267,120.153,China,9523000.0,china,hangzhou
Nagoya,35.1833,136.9,Japan,9197000.0,japan,nagoya
Luanda,-8.8383,13.2344,Angola,9051000.0,angola,luanda
Foshan,23.0214,113.1216,China,9042500.0,china,foshan
Kuala Lumpur,3.1686,101.698,Malaysia,8911000.0,malaysia,kuala lumpur
Zhoukou,33.6367,114.7014,China,8677800.0,china,zhoukou
Tongshan,34.261,117.1859,China,8669000.0,china,tongshan
Hanoi,21.0,105.85,Vietnam,8587100.0,vietnam,hanoi
Chicago,41.8375,-87.6866,United States,8489066.0,united states,chicago
Nanjing,32.0608,118.7789,China,8422000.0,china,nanjing
Heze,35.2343,115.4796,China,8287693.0,china,heze
Pune,18.5203,73.8567,India,8231000.0,india,pune
Jining,35.4151,116.5871,China,8081905.0,china,jining
Bogotá,4.7111,-74.0722,Colombia,8034649.0,colombia,bogotá
Ahmedabad,23.0225,72.5714,India,8009000.0,india,ahmedabad
Shenyang,41.8025,123.4281,China,7964000.0,china,shenyang
Dar es Salaam,-6.8161,39.2803,Tanzania,7962000.0,tanzania,dar es salaam
Khartoum,15.6031,32.5265,Sudan,7869000.0,sudan,khartoum
Johannesburg,-26.2044,28.0456,South Africa,7860781.0,south africa,johannesburg
Fuyang,32.89,115.814,China,7599913.0,china,fuyang
Hong Kong,22.3,114.2,Hong Kong,7450000.0,hong kong,hong kong
Ganzhou,25.831,114.933,China,7396873.0,china,ganzhou
Shangqiu,34.415,115.656,China,7325300.0,china,shangqiu
Cangzhou,38.3047,116.8387,China,7300783.0,china,cangzhou
Riyadh,24.65,46.71,Saudi Arabia,7237000.0,saudi arabia,riyadh
Santiago,-33.4372,-70.6506,Chile,7171000.0,chile,santiago
Zhumadian,33.014,114.022,China,7008427.0,china,zhumadian
Zhanjiang,21.2701,110.3575,China,6981236.0,china,zhanjiang
Rangoon,16.795,96.16,Burma,6874000.0,burma,rangoon
Yancheng,33.35,120.1569,China,6709629.0,china,yancheng
Bijie,27.284,105.292,China,6686100.0,china,bijie
Xingtai,37.0717,114.5048,China,6645766.0,china,xingtai
Hengyang,26.894,112.572,China,6645243.0,china,hengyang
Shaoyang,27.2395,111.4679,China,6563520.0,china,shaoyang
Surabaya,-7.2458,112.7378,Indonesia,6556000.0,indonesia,surabaya
Sūrat,21.205,72.84,India,6538000.0,india,sūrat
Quanzhou,24.8744,118.6757,China,6480000.0,china,quanzhou
Shangrao,28.4551,117.9431,China,6435300.0,china,shangrao
Zunyi,27.722,107.031,China,6270700.0,china,zunyi
Madrid,40.4169,-3.7033,Spain,6211000.0,spain,madrid
Baghdad,33.3153,44.3661,Iraq,6183000.0,iraq,baghdad
Maoming,21.6627,110.9255,China,6174050.0,china,maoming
Miami,25.784,-80.2101,United States,6113982.0,united states,miami
Xinyang,32.149,114.091,China,6109106.0,china,xinyang
Houston,29.786,-95.3885,United States,6046392.0,united states,houston
Singapore,1.3,103.8,Singapore,5983000.0,singapore,singapore
Prayagraj,25.4358,81.8464,India,5954391.0,india,prayagraj
Huanggang,30.4537,114.8724,China,5882719.0,china,huanggang
Dalian,38.9,121.6,China,5871474.0,china,dalian
Ankara,39.93,32.85,Turkey,5864049.0,turkey,ankara
Dallas,32.7935,-96.7667,United States,5843632.0,united states,dallas
Qingdao,36.0669,120.3827,China,5818255.0,china,qingdao
Yulin,22.654,110.181,China,5796766.0,china,yulin
Liaocheng,36.4559,115.9852,China,5789863.0,china,liaocheng
Douala,4.05,9.7,Cameroon,5768400.0,cameroon,douala
Qujing,25.491,103.796,China,5765775.0,china,qujing
Nangandao,35.3036,113.9268,China,5708191.0,china,nangandao
Addis Ababa,9.03,38.74,Ethiopia,5704000.0,ethiopia,addis ababa
Philadelphia,40.0077,-75.1339,United States,5696588.0,united states,philadelphia
Toronto,43.7417,-79.3733,Canada,5647656.0,canada,toronto
Zhengzhou,34.764,113.684,China,5621593.0,china,zhengzhou
Nanchong,30.8372,106.1106,China,5607565.0,china,nanchong
Jinan,36.6702,117.0207,China,5606374.0,china,jinan
Giza,29.987,31.2118,Egypt,5598402.0,egypt,giza
Saint Petersburg,59.9375,30.3086,Russia,5597763.0,russia,saint petersburg
Jieyang,23.551,116.3727,China,5577814.0,china,jieyang
Dezhou,37.436,116.359,China,5568235.0,china,dezhou
Nairobi,-1.2864,36.8172,Kenya,5545000.0,kenya,nairobi
Guadalajara,20.6767,-103.3475,Mexico,5525000.0,mexico,guadalajara
Tai’an,36.202,117.087,China,5472217.0,china,tai’an
Dazhou,31.2093,107.4678,China,5385422.0,china,dazhou
Belo Horizonte,-19.9281,-43.9419,Brazil,5328000.0,brazil,belo horizonte
Suzhou,33.648,116.964,China,5324476.0,china,suzhou
Monterrey,25.6844,-100.3181,Mexico,5324281.0,mexico,monterrey
Yongzhou,26.42,111.613,China,5289824.0,china,yongzhou
Changde,29.031,111.699,China,5279102.0,china,changde
Xiangyang,32.01,112.122,China,5260951.0,china,xiangyang
Atlanta,33.7628,-84.422,United States,5211164.0,united states,atlanta
Pudong,31.2347,121.5064,China,5187200.0,china,pudong
Washington,38.9047,-77.0163,United States,5146120.0,united states,washington
Zhaotong,27.338,103.717,China,5092611.0,china,zhaotong
Zhangzhou,24.513,117.647,China,5054328.0,china,zhangzhou
Yueyang,29.3647,113.1309,China,5051922.0,china,yueyang
Melbourne,-37.8142,144.9631,Australia,5031195.0,australia,melbourne
Yichun,27.816,114.417,China,5007702.0,china,yichun
Abidjan,5.3364,-4.0267,Côte d’Ivoire,4980000.0,côte d’ivoire,abidjan
Guilin,25.275,110.296,China,4931137.0,china,guilin
Pingdingshan,33.7666,113.1926,China,4904701.0,china,pingdingshan
Alexandria,31.1975,29.8925,Egypt,4870000.0,egypt,alexandria
Bozhou,33.8463,115.7786,China,4850657.0,china,bozhou
Sydney,-33.8667,151.2,Australia,4840600.0,australia,sydney
Barcelona,41.3833,2.1833,Spain,4800000.0,spain,barcelona
Yuncheng,35.0267,111.007,China,4774508.0,china,yuncheng
Cape Town,-33.9253,18.4239,South Africa,4770313.0,south africa,cape town
Changsha,28.228,112.939,China,4766296.0,china,changsha
Suqian,33.963,118.275,China,4719178.0,china,suqian
Jeddah,21.5428,39.1728,Saudi Arabia,4697000.0,saudi arabia,jeddah
Weinan,34.5206,109.471,China,4688744.0,china,weinan
Berlin,52.52,13.405,Germany,4679500.0,germany,berlin
Chenzhou,25.77,113.016,China,4667134.0,china,chenzhou
Jiangmen,22.5789,113.0815,China,4630300.0,china,jiangmen
Mianyang,31.468,104.679,China,4613862.0,china,mianyang
Jiujiang,29.661,115.954,China,4600276.0,china,jiujiang
Huaihua,27.5698,110.0016,China,4587594.0,china,huaihua
Huanglongsi,34.795,114.345,China,4564900.0,china,huanglongsi
Taizhou,32.4567,119.9229,China,4512762.0,china,taizhou
Belāhi,26.4,86.25,India,4487379.0,india,belāhi
Yibin,28.752,104.643,China,4471896.0,china,yibin
Ji’an,27.0912,114.9668,China,4469176.0,china,ji’an
Yangzhou,32.3944,119.4128,China,4459760.0,china,yangzhou
Kunming,25.0464,102.7094,China,4422686.0,china,kunming
Changchun,43.897,125.326,China,4408154.0,china,changchun
Lu’an,31.736,116.52,China,4393699.0,china,lu’an
Xinpu,34.5966,119.2214,China,4393482.0,china,xinpu
Langfang,39.5383,116.6835,China,4358839.0,china,langfang
Boston,42.3188,-71.0852,United States,4355184.0,united states,boston
Ürümqi,43.8225,87.6125,China,4335017.0,china,ürümqi
Suzhou,31.3,120.6194,China,4330000.0,china,suzhou
Guigang,23.112,109.599,China,4316262.0,china,guigang
Shantou,23.354,116.682,China,4312192.0,china,shantou
Jiangguanchi,34.037,113.852,China,4307488.0,china,jiangguanchi
Kabul,34.5253,69.1783,Afghanistan,4273156.0,afghanistan,kabul
Xiaoganzhan,30.918,113.957,China,4270371.0,china,xiaoganzhan
Bamako,12.6458,-7.9922,Mali,4227569.0,mali,bamako
Kano,12.0,8.5167,Nigeria,4224966.0,nigeria,kano
Luzhou,28.871,105.442,China,4218427.0,china,luzhou
Hefei,31.8206,117.2273,China,4216940.0,china,hefei
Hengshui,37.739,115.669,China,4212933.0,china,hengshui
Fortaleza,-3.7275,-38.5275,Brazil,4167996.0,brazil,fortaleza
Anqing,30.5318,117.1153,China,4165284.0,china,anqing
Zhangjiakou,40.769,114.886,China,4118908.0,china,zhangjiakou
Zhaoqing,23.05,112.4667,China,4113594.0,china,zhaoqing
