country,age_0_14,age_15_64,age_65_plus,country_norm
Afghanistan,43.2,54.2,3,afghanistan
Albania,17.4,68.9,13,albania
Algeria,29.3,64.5,6,algeria
Angola,46.8,50.8,2,angola
Antigua and Barbuda,23.9,69.2,7,antigua and barbuda
Argentina,24.9,63.9,11,argentina
Armenia,20.0,68.8,11,armenia
Aruba (Netherlands),17.9,69.0,13,aruba (netherlands)
Australia,19.0,65.5,16,australia
Austria,14.1,66.7,19,austria
Azerbaijan,23.3,70.7,6,azerbaijan
Bahamas,20.5,70.6,9,bahamas
Bahrain,19.7,77.9,2,bahrain
Bangladesh,28.4,66.5,5,bangladesh
Barbados,19.1,66.0,15,barbados
Belarus,16.7,68.5,15,belarus
Belgium,17.1,64.3,19,belgium
Belize,31.4,64.7,4,belize
Benin,42.7,54.1,3,benin
Bhutan,26.6,68.6,5,bhutan
Bolivia,31.6,61.7,7,bolivia
Bosnia and Herzegovina,14.1,69.3,17,bosnia and herzegovina
Botswana,31.4,64.7,4,botswana
Brazil,21.7,69.7,9,brazil
Brunei,23.0,72.4,5,brunei
Bulgaria,14.2,65.0,21,bulgaria
Burkina Faso,45.2,52.4,2,burkina faso
Burundi,45.0,52.4,3,burundi
Cambodia,31.3,64.3,4,cambodia
Cameroon,42.7,54.1,3,cameroon
Canada,16.0,67.0,17,canada
Cape Verde,30.2,65.3,5,cape verde
Central African Republic,43.2,53.1,4,central african republic
Chad,47.1,50.4,3,chad
Chile,20.3,68.6,11,chile
China,17.7,71.7,11,china
Colombia,23.5,68.9,8,colombia
Comoros,39.8,57.3,3,comoros
Costa Rica,21.3,68.9,10,costa rica
Croatia,14.7,65.6,20,croatia
Cuba,16.1,69.2,15,cuba
Curaçao,18.7,64.9,16,curaçao
Cyprus,16.8,69.8,13,cyprus
Czech Republic,15.4,65.6,19,czech republic
Democratic Republic of the Congo,46.3,50.7,3,democratic republic of the congo
Denmark,16.5,63.8,20,denmark
Djibouti,31.1,64.7,4,djibouti
Dominican Republic,29.3,63.7,7,dominican republic
Ecuador,28.4,64.5,7,ecuador
Egypt,33.5,61.4,5,egypt
El Salvador,27.4,64.4,8,el salvador
Equatorial Guinea,37.2,60.0,3,equatorial guinea
Eritrea,41.8,54.6,4,eritrea
Estonia,16.4,64.2,20,estonia
Eswatini (Swaziland),37.2,59.7,3,eswatini (swaziland)
Ethiopia,40.6,55.9,4,ethiopia
Federated States of Micronesia,33.1,62.1,5,federated states of micronesia
Fiji,28.5,65.3,6,fiji
Finland,16.4,62.4,21,finland
France,18.1,62.2,20,france
Gabon,35.9,59.6,5,gabon
Gambia,45.3,52.3,2,gambia
Georgia,19.2,66.0,15,georgia
Germany,13.1,65.5,22,germany
Ghana,38.5,58.1,3,ghana
Greece,14.2,65.4,20,greece
Grenada,26.3,66.4,7,grenada
Guam (US),24.7,65.7,10,guam (us)
Guatemala,35.1,60.3,5,guatemala
Guinea,42.3,54.6,3,guinea
Guinea-Bissau,40.7,55.5,3,guinea-bissau
Guyana,28.1,65.7,5,guyana
Haiti,33.0,62.2,5,haiti
Honduras,31.6,63.7,5,honduras
Hong Kong,11.5,72.2,16,hong kong
Hungary,14.3,67.1,19,hungary
Iceland,20.1,65.5,14,iceland
India,27.8,66.2,6,india
Indonesia,27.4,67.3,5,indonesia
Iran,23.7,70.9,5,iran
Iraq,40.4,56.4,3,iraq
Ireland,21.6,64.4,14,ireland
Israel,27.9,60.4,12,israel
Italy,13.5,63.5,23,italy
Ivory Coast,42.4,54.6,3,ivory coast
Jamaica,22.7,67.6,10,jamaica
Japan,12.9,60.1,27,japan
Jordan,35.5,60.7,4,jordan
Kazakhstan,27.9,65.1,7,kazakhstan
Kenya,40.5,56.8,3,kenya
Kuwait,21.1,76.6,2,kuwait
Kyrgyzstan,31.8,63.7,5,kyrgyzstan
Laos,32.9,63.1,4,laos
Latvia,15.4,64.8,20,latvia
Lebanon,23.1,68.4,9,lebanon
Lesotho,35.4,60.1,5,lesotho
Liberia,41.8,55.1,3,liberia
Libya,28.2,67.4,4,libya
Lithuania,14.8,66.2,19,lithuania
Luxembourg,16.5,69.2,14,luxembourg
Macau,13.4,76.9,10,macau
Madagascar,41.0,56.1,3,madagascar
Malawi,44.0,53.0,3,malawi
Malaysia,24.3,69.4,6,malaysia
Maldives,23.4,72.5,4,maldives
Mali,47.7,49.8,3,mali
Malta,14.4,66.1,19,malta
Mauritania,39.9,56.9,3,mauritania
Mauritius,18.4,70.7,11,mauritius
Mexico,26.7,66.5,7,mexico
Moldova,15.7,73.4,11,moldova
Mongolia,29.7,66.3,4,mongolia
Montenegro,18.1,67.1,15,montenegro
Morocco,27.4,65.8,7,morocco
Mozambique,44.8,52.1,3,mozambique
Myanmar,26.8,67.4,6,myanmar
Namibia,36.7,59.8,4,namibia
Nepal,30.9,63.3,6,nepal
Netherlands,16.4,64.8,19,netherlands
New Zealand,19.8,64.9,15,new zealand
Nicaragua,29.0,65.5,5,nicaragua
Niger,50.2,47.2,3,niger
Nigeria,44.0,53.3,3,nigeria
North Korea,20.6,69.9,10,north korea
North Macedonia,23.7,64.4,12,north macedonia
Norway,17.8,65.4,17,norway
Oman,21.8,75.8,2,oman
Pakistan,34.8,60.7,5,pakistan
Palestine,39.6,57.4,3,palestine
Panama,27.4,64.7,8,panama
Papua New Guinea,35.9,60.3,4,papua new guinea
Paraguay,29.4,64.2,6,paraguay
Peru,27.4,65.5,7,peru
Philippines,31.7,63.5,5,philippines
Poland,14.8,68.4,17,poland
Portugal,13.6,64.9,22,portugal
Puerto Rico (US),17.9,66.9,15,puerto rico (us)
Qatar,13.9,84.8,1,qatar
Republic of the Congo,42.3,54.3,3,republic of the congo
Romania,15.3,66.9,18,romania
Russia,17.6,68.2,14,russia
Rwanda,40.1,56.9,3,rwanda
Saint Lucia,18.9,71.4,10,saint lucia
Saint Vincent and the Grenadines,23.8,68.5,8,saint vincent and the grenadines
Samoa,36.6,57.8,6,samoa
Saudi Arabia,25.2,71.5,3,saudi arabia
Senegal,42.9,54.1,3,senegal
Serbia,16.5,66.2,17,serbia
Seychelles,22.2,69.2,9,seychelles
Sierra Leone,42.1,55.4,3,sierra leone
Singapore,15.0,72.1,13,singapore
Slovakia,15.4,69.6,15,slovakia
Slovenia,15.0,66.0,19,slovenia
Solomon Islands,38.8,57.7,4,solomon islands
Somalia,46.4,50.8,3,somalia
South Africa,29.0,65.7,5,south africa
South Korea,13.5,72.6,14,south korea
South Sudan,41.7,54.9,3,south sudan
Spain,14.7,65.9,19,spain
Sri Lanka,24.0,65.9,10,sri lanka
Sudan,40.8,55.6,4,sudan
Suriname,26.4,66.6,7,suriname
Sweden,17.5,62.5,20,sweden
Switzerland,14.9,66.7,18,switzerland
Syria,36.6,59.1,4,syria
São Tomé and Príncipe,42.8,54.3,3,são tomé and príncipe
Taiwan,13.12,73.02,14,taiwan
Tajikistan,35.3,61.3,4,tajikistan
Tanzania,44.9,52.0,3,tanzania
Thailand,17.3,71.3,11,thailand
Timor-Leste,43.6,52.8,4,timor-leste
Togo,41.6,55.6,3,togo
Tonga,35.8,58.3,6,tonga
Trinidad and Tobago,20.7,69.3,10,trinidad and tobago
Tunisia,24.0,68.0,8,tunisia
Turkey,25.0,66.9,8,turkey
Turkmenistan,30.9,64.8,4,turkmenistan
Uganda,47.7,50.1,2,uganda
Ukraine,15.5,68.0,17,ukraine
United Arab Emirates,13.9,85.0,1,united arab emirates
United Kingdom,17.7,63.8,19,united kingdom
United States,18.9,65.7,15,united states
Uruguay,21.1,64.3,15,uruguay
US Virgin Islands (US),20.1,61.3,19,us virgin islands (us)
Uzbekistan,28.0,67.5,5,uzbekistan
Vanuatu,36.0,59.7,4,vanuatu
Venezuela,27.6,65.8,7,venezuela
Vietnam,23.1,69.8,7,vietnam
Yemen,39.9,57.2,3,yemen
Zambia,44.8,52.7,3,zambia
Zimbabwe,41.2,56.0,3,zimbabwe
